CONFERENCE,NCAA NAME,NCAA NICKNAME,VSIN Name,NCAA SLUG,VSiN Slug,NCAA LOGO URL
Big Ten,Michigan St.,Spartans,Michigan ST,michigan-st,michigan-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan-st.svg
Big Ten,Nebraska,Cornhuskers,Nebraska,nebraska,nebraska,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/nebraska.svg
Big Ten,Illinois,Fighting Illini,Illinois,illinois,illinois,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/illinois.svg
Big Ten,Purdue,Boilermakers,Purdue,purdue,purdue,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/purdue.svg
Big Ten,Wisconsin,Badgers,Wisconsin,wisconsin,wisconsin,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wisconsin.svg
Big Ten,UCLA,Bruins,UCLA,ucla,ucla,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ucla.svg
Big Ten,Ohio St.,Buckeyes,Ohio ST,ohio-st,ohio-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ohio-st.svg
Big Ten,Iowa,Hawkeyes,Iowa,iowa,iowa,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/iowa.svg
Big Ten,Indiana,Hoosiers,Indiana,indiana,indiana,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/indiana.svg
Big Ten,Southern California,Trojans,USC,southern-california,usc,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-california.svg
Big Ten,Washington,Huskies,Washington,washington,washington,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/washington.svg
Big Ten,Minnesota,Golden Gophers,Minnesota,minnesota,minnesota,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/minnesota.svg
Big Ten,Rutgers,Scarlet Knights,Rutgers,rutgers,rutgers,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/rutgers.svg
Big Ten,Northwestern,Wildcats,Northwestern,northwestern,northwestern,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northwestern.svg
Big Ten,Oregon,Ducks,Oregon,oregon,oregon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon.svg
Big Ten,Maryland,Terrapins,Maryland,maryland,maryland,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/maryland.svg
Big Ten,Penn St.,Nittany Lions,Penn ST,penn-st,penn-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/penn-st.svg
Big West,Hawaii,Rainbow Warriors,Hawaii,hawaii,hawaii,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/hawaii.svg
Big West,UC Irvine,Anteaters,UC-Irvine,uc-irvine,uc-irvine,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-irvine.svg
Big West,UC San Diego,Tritons,UC-San Diego,uc-san-diego,uc-san-diego,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-san-diego.svg
Big West,CSUN,Matadors,CSU-Northridge,cal-st-northridge,csu-northridge,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-northridge.svg
Big West,UC Santa Barbara,Gauchos,UC-Santa Barbara,uc-santa-barbara,uc-santa-barbara,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-santa-barbara.svg
Big West,UC Davis,Aggies,UC-Davis,uc-davis,uc-davis,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-davis.svg
Big West,Cal St. Fullerton,Titans,CSU-Fullerton,cal-st-fullerton,csu-fullerton,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-fullerton.svg
Big West,Cal Poly,Mustangs,Cal Poly SLO,cal-poly,cal-poly-slo,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-poly.svg
Big West,Long Beach St.,Beach,Long Beach ST,long-beach-st,long-beach-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/long-beach-st.svg
Big West,UC Riverside,Highlanders,UC-Riverside,uc-riverside,uc-riverside,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-riverside.svg
Big West,CSU Bakersfield,Roadrunners,CSU-Bakersfield,bakersfield,csu-bakersfield,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bakersfield.svg
CAA,UNCW,Seahawks,UNC-Wilmington,unc-wilmington,unc-wilmington,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/unc-wilmington.svg
CAA,Col. of Charleston,Cougars,Charleston,col-of-charleston,charleston,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/col-of-charleston.svg
CAA,Hofstra,Pride,Hofstra,hofstra,hofstra,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/hofstra.svg
CAA,Monmouth,Hawks,Monmouth,monmouth,monmouth,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/monmouth.svg
CAA,William & Mary,Tribe,William & Mary,william-mary,william-and-mary,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/william-mary.svg
CAA,Drexel,Dragons,Drexel,drexel,drexel,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/drexel.svg
CAA,Stony Brook,Seawolves,Stony Brook,stony-brook,stony-brook,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/stony-brook.svg
CAA,Towson,Tigers,Towson,towson,towson,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/towson.svg
CAA,Campbell,Camels,Campbell,campbell,campbell,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/campbell.svg
CAA,Hampton,Pirates,Hampton,hampton,hampton,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/hampton.svg
CAA,Elon,Phoenix,Elon,elon,elon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/elon.svg
CAA,N.C. A&T,Aggies,N Carolina A&T,nc-at,n-carolina-a-and-t,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/nc-at.svg
CAA,Northeastern,Huskies,Northeastern,northeastern,northeastern,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northeastern.svg
CUSA,Liberty,Flames,Liberty,liberty,liberty,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/liberty.svg
CUSA,Sam Houston,Bearkats,Sam Houston ST,sam-houston-st,sam-houston-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/sam-houston-st.svg
CUSA,Western Ky.,Hilltoppers,W Kentucky,western-ky,w-kentucky,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/western-ky.svg
CUSA,Kennesaw St.,Owls,Kennesaw ST,kennesaw-st,kennesaw-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kennesaw-st.svg
CUSA,Louisiana Tech,Bulldogs,Louisiana Tech,louisiana-tech,louisiana-tech,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/louisiana-tech.svg
CUSA,Middle Tenn.,Blue Raiders,Middle Tenn ST,middle-tenn,middle-tenn-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/middle-tenn.svg
CUSA,Jacksonville St.,Gamecocks,Jacksonville ST,jacksonville-st,jacksonville-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/jacksonville-st.svg
CUSA,FIU,Panthers,Florida INTL,fiu,florida-intl,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fiu.svg
CUSA,Missouri St.,Bears,Missouri ST,missouri-st,missouri-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/missouri-st.svg
CUSA,New Mexico St.,Aggies,New Mexico ST,new-mexico-st,new-mexico-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/new-mexico-st.svg
CUSA,UTEP,Miners,Texas-El Paso,utep,texas-el-paso,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utep.svg
CUSA,Delaware,Blue Hens,Delaware,delaware,delaware,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/delaware.svg
Horizon,Wright St.,Raiders,Wright ST,wright-st,wright-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wright-st.svg
Horizon,Robert Morris,Colonials,Robert Morris,robert-morris,robert-morris,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/robert-morris.svg
Horizon,Green Bay,Phoenix,UW-Green Bay,green-bay,uw-green-bay,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/green-bay.svg
Horizon,Detroit Mercy,Titans,Detroit,detroit,detroit,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/detroit.svg
Horizon,Oakland,Golden Grizzlies,Oakland,oakland,oakland,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oakland.svg
Horizon,Purdue Fort Wayne,Mastodons,IPFW,ipfw,ipfw,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ipfw.svg
Horizon,Northern Ky.,Norse,N Kentucky,northern-ky,n-kentucky,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northern-ky.svg
Horizon,Youngstown St.,Penguins,Youngstown ST,youngstown-st,youngstown-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/youngstown-st.svg
Horizon,Milwaukee,Panthers,UW-Milwaukee,milwaukee,uw-milwaukee,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/milwaukee.svg
Horizon,Cleveland St.,Vikings,Cleveland ST,cleveland-st,cleveland-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cleveland-st.svg
Horizon,IU Indy,Jaguars,IUPUI,iu-indy,iupui,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/iu-indy.svg
Ivy League,Yale,Bulldogs,Yale,yale,yale,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/yale.svg
Ivy League,Harvard,Crimson,Harvard,harvard,harvard,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/harvard.svg
Ivy League,Penn,Quakers,Pennsylvania,penn,pennsylvania,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/penn.svg
Ivy League,Cornell,Big Red,Cornell,cornell,cornell,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cornell.svg
Ivy League,Columbia,Lions,Columbia,columbia,columbia,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/columbia.svg
Ivy League,Dartmouth,Big Green,Dartmouth,dartmouth,dartmouth,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/dartmouth.svg
Ivy League,Princeton,Tigers,Princeton,princeton,princeton,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/princeton.svg
Ivy League,Brown,Bears,Brown,brown,brown,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/brown.svg
MAAC,Merrimack,Warriors,Merrimack,merrimack,merrimack,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/merrimack.svg
MAAC,Saint Peter's,Peacocks,ST Peters,st-peters,st-peters,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-peters.svg
MAAC,Siena,Saints,Siena,siena,siena,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/siena.svg
MAAC,Marist,Red Foxes,Marist,marist,marist,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/marist.svg
MAAC,Quinnipiac,Bobcats,Quinnipiac,quinnipiac,quinnipiac,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/quinnipiac.svg
MAAC,Fairfield,Stags,Fairfield,fairfield,fairfield,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fairfield.svg
MAAC,Mount St. Mary's,Mountaineers,MT ST Marys,mt-st-marys,mt-st-marys,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/mt-st-marys.svg
MAAC,Iona,Gaels,Iona,iona,iona,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/iona.svg
MAAC,Sacred Heart,Pioneers,Sacred Heart,sacred-heart,sacred-heart,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/sacred-heart.svg
MAAC,Manhattan,Jaspers,Manhattan,manhattan,manhattan,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/manhattan.svg
MAAC,Canisius,Golden Griffins,Canisius,canisius,canisius,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/canisius.svg
MAAC,Niagara,Purple Eagles,Niagara,niagara,niagara,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/niagara.svg
MAAC,Rider,Broncs,Rider,rider,rider,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/rider.svg
MAC,Miami (OH),RedHawks,Miami OH,miami-oh,miami-oh,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/miami-oh.svg
MAC,Akron,Zips,Akron,akron,akron,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/akron.svg
MAC,Kent St.,Golden Flashes,Kent,kent-st,kent,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kent-st.svg
MAC,Toledo,Rockets,Toledo,toledo,toledo,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/toledo.svg
MAC,Ohio,Bobcats,Ohio,ohio,ohio,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ohio.svg
MAC,Bowling Green,Falcons,Bowling Green,bowling-green,bowling-green,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bowling-green.svg
MAC,Buffalo,Bulls,Buffalo,buffalo,buffalo,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/buffalo.svg
MAC,Massachusetts,Minutemen,Massachusetts,massachusetts,massachusetts,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/massachusetts.svg
MAC,Ball St.,Cardinals,Ball ST,ball-st,ball-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ball-st.svg
MAC,Central Mich.,Chippewas,C Michigan,central-mich,c-michigan,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/central-mich.svg
MAC,Western Mich.,Broncos,W Michigan,western-mich,w-michigan,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/western-mich.svg
MAC,Eastern Mich.,Eagles,E Michigan,eastern-mich,e-michigan,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/eastern-mich.svg
MAC,NIU,Huskies,N Illinois,northern-ill,n-illinois,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northern-ill.svg
MEAC,Howard,Bison,Howard,howard,howard,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/howard.svg
MEAC,Morgan St.,Bears,Morgan ST,morgan-st,morgan-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/morgan-st.svg
MEAC,Norfolk St.,Spartans,Norfolk ST,norfolk-st,norfolk-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/norfolk-st.svg
MEAC,N.C. Central,Eagles,NC Central,nc-central,nc-central,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/nc-central.svg
MEAC,South Carolina St.,Bulldogs,S Carolina ST,south-carolina-st,s-carolina-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/south-carolina-st.svg
MEAC,UMES,Hawks,MD-E Shore,md-east-shore,md-e-shore,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/md-east-shore.svg
MEAC,Coppin St.,Eagles,Coppin ST,coppin-st,coppin-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/coppin-st.svg
MEAC,Delaware St.,Hornets,Delaware ST,delaware-st,delaware-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/delaware-st.svg
Mountain West,Utah St.,Aggies,Utah ST,utah-st,utah-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utah-st.svg
Mountain West,New Mexico,Lobos,New Mexico,new-mexico,new-mexico,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/new-mexico.svg
Mountain West,San Diego St.,Aztecs,San Diego ST,san-diego-st,san-diego-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/san-diego-st.svg
Mountain West,Grand Canyon,Antelopes,Grand Canyon,grand-canyon,grand-canyon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/grand-canyon.svg
Mountain West,Colorado St.,Rams,Colorado ST,colorado-st,colorado-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/colorado-st.svg
Mountain West,Boise St.,Broncos,Boise ST,boise-st,boise-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/boise-st.svg
Mountain West,Nevada,Wolf Pack,Nevada,nevada,nevada,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/nevada.svg
Mountain West,UNLV,Rebels,UNLV,unlv,unlv,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/unlv.svg
Mountain West,Wyoming,Cowboys,Wyoming,wyoming,wyoming,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wyoming.svg
Mountain West,Fresno St.,Bulldogs,Fresno ST,fresno-st,fresno-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fresno-st.svg
Mountain West,San Jose St.,Spartans,San Jose ST,san-jose-st,san-jose-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/san-jose-st.svg
Mountain West,Air Force,Falcons,Air Force,air-force,air-force,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/air-force.svg
MVC,Belmont,Bruins,Belmont,belmont,belmont,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/belmont.svg
MVC,Bradley,Braves,Bradley,bradley,bradley,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bradley.svg
MVC,Murray St.,Racers,Murray ST,murray-st,murray-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/murray-st.svg
MVC,Illinois St.,Redbirds,Illinois ST,illinois-st,illinois-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/illinois-st.svg
MVC,UIC,Flames,Illinois-Chicago,ill-chicago,illinois-chicago,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ill-chicago.svg
MVC,UNI,Panthers,N Iowa,uni,n-iowa,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uni.svg
MVC,Valparaiso,Beacons,Valparaiso,valparaiso,valparaiso,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/valparaiso.svg
MVC,Southern Ill.,Salukis,S Illinois,southern-ill,s-illinois,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-ill.svg
MVC,Drake,Bulldogs,Drake,drake,drake,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/drake.svg
MVC,Indiana St.,Sycamores,Indiana ST,indiana-st,indiana-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/indiana-st.svg
MVC,Evansville,Purple Aces,Evansville,evansville,evansville,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/evansville.svg
NEC,LIU,Sharks,LIU-Brooklyn,long-island,liu-brooklyn,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/long-island.svg
NEC,Central Conn. St.,Blue Devils,C Conn ST,central-conn-st,c-conn-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/central-conn-st.svg
NEC,Mercyhurst,Lakers,Mercyhurst,mercyhurst,mercyhurst,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/mercyhurst.svg
NEC,Le Moyne,Dolphins,Lemoyne,le-moyne,lemoyne,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/le-moyne.svg
NEC,New Haven,Chargers,New Haven,new-haven,new-haven,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/new-haven.svg
NEC,Wagner,Seahawks,Wagner,wagner,wagner,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wagner.svg
NEC,Stonehill,Skyhawks,Stonehill,stonehill,stonehill,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/stonehill.svg
NEC,FDU,Knights,Fairleigh Dickinson,fdu,fairleigh-dickinson,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fdu.svg
NEC,Saint Francis,Red Flash,ST Francis-PA,st-francis-pa,st-francis-pa,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-francis-pa.svg
NEC,Chicago St.,Cougars,Chicago ST,chicago-st,chicago-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/chicago-st.svg
OVC,Tennessee St.,Tigers,Tennessee ST,tennessee-st,tennessee-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/tennessee-st.svg
OVC,Morehead St.,Eagles,Morehead ST,morehead-st,morehead-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/morehead-st.svg
OVC,Southeast Mo. St.,Redhawks,SE Missouri ST,southeast-mo-st,se-missouri-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southeast-mo-st.svg
OVC,UT Martin,Skyhawks,Tennessee-Martin,ut-martin,tennessee-martin,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ut-martin.svg
OVC,SIUE,Cougars,SIU-Edwardsville,siu-edwardsville,siu-edwardsville,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/siu-edwardsville.svg
OVC,Lindenwood,Lions,Lindenwood,lindenwood-mo,lindenwood,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lindenwood-mo.svg
OVC,Little Rock,Trojans,Ark-Little Rock,ualr,ark-little-rock,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ualr.svg
OVC,Tennessee Tech,Golden Eagles,Tennessee Tech,tennessee-tech,tennessee-tech,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/tennessee-tech.svg
OVC,Eastern Ill.,Panthers,E Illinois,eastern-ill,e-illinois,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/eastern-ill.svg
OVC,Southern Ind.,Screaming Eagles,S Indiana,southern-ind,s-indiana,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-ind.svg
OVC,Western Ill.,Leathernecks,W Illinois,western-ill,w-illinois,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/western-ill.svg
Patriot,Navy,Midshipmen,Navy,navy,navy,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/navy.svg
Patriot,Colgate,Raiders,Colgate,colgate,colgate,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/colgate.svg
Patriot,Lehigh,Mountain Hawks,Lehigh,lehigh,lehigh,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lehigh.svg
Patriot,Boston U.,Terriers,Boston U,boston-u,boston-u,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/boston-u.svg
Patriot,American,Eagles,American,american,american,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/american.svg
Patriot,Loyola Maryland,Greyhounds,Loyola-Maryland,loyola-maryland,loyola-maryland,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/loyola-maryland.svg
Patriot,Lafayette,Leopards,Lafayette,lafayette,lafayette,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lafayette.svg
Patriot,Bucknell,Bison,Bucknell,bucknell,bucknell,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bucknell.svg
Patriot,Army West Point,Black Knights,Army,army,army,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/army.svg
Patriot,Holy Cross,Crusaders,Holy Cross,holy-cross,holy-cross,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/holy-cross.svg
SEC,Florida,Gators,Florida,florida,florida,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/florida.svg
SEC,Alabama,Crimson Tide,Alabama,alabama,alabama,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama.svg
SEC,Arkansas,Razorbacks,Arkansas,arkansas,arkansas,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas.svg
SEC,Tennessee,Volunteers,Tennessee,tennessee,tennessee,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/tennessee.svg
SEC,Vanderbilt,Commodores,Vanderbilt,vanderbilt,vanderbilt,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/vanderbilt.svg
SEC,Texas A&M,Aggies,Texas A&M,texas-am,texas-a-and-m,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/texas-am.svg
SEC,Missouri,Tigers,Missouri,missouri,missouri,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/missouri.svg
SEC,Kentucky,Wildcats,Kentucky,kentucky,kentucky,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kentucky.svg
SEC,Georgia,Bulldogs,Georgia,georgia,georgia,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia.svg
SEC,Texas,Longhorns,Texas,texas,texas,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/texas.svg
SEC,Auburn,Tigers,Auburn,auburn,auburn,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/auburn.svg
SEC,Oklahoma,Sooners,Oklahoma,oklahoma,oklahoma,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oklahoma.svg
SEC,Mississippi St.,Bulldogs,Mississippi ST,mississippi-st,mississippi-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/mississippi-st.svg
SEC,Ole Miss,Rebels,Mississippi,ole-miss,mississippi,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ole-miss.svg
SEC,LSU,Tigers,LSU,lsu,lsu,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lsu.svg
SEC,South Carolina,Gamecocks,South Carolina,south-carolina,south-carolina,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/south-carolina.svg
SoCon,ETSU,Buccaneers,E Tennessee ST,east-tenn-st,e-tennessee-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/east-tenn-st.svg
SoCon,Mercer,Bears,Mercer,mercer,mercer,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/mercer.svg
SoCon,Wofford,Terriers,Wofford,wofford,wofford,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wofford.svg
