CONFERENCE,NCAA NAME,NCAA NICKNAME,VSIN Name,NCAA SLUG,VSiN Slug,NCAA LOGO URL
Sun Belt,ULM,Warhawks,LA Monroe,la-monroe,la-monroe,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/la-monroe.svg
SWAC,Bethune-Cookman,Wildcats,Bethune-Cookman,bethune-cookman,bethune-cookman,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bethune-cookman.svg
SWAC,Alabama A&M,Bulldogs,Alabama A&M,alabama-am,alabama-a-and-m,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama-am.svg
SWAC,Southern U.,Jaguars,Southern U,southern-u,southern-u,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-u.svg
SWAC,Florida A&M,Rattlers,Florida A&M,florida-am,florida-a-and-m,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/florida-am.svg
SWAC,Texas Southern,Tigers,Texas Southern,texas-southern,texas-southern,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/texas-southern.svg
SWAC,Ark.-Pine Bluff,Golden Lions,Ark-Pine Bluff,ark-pine-bluff,ark-pine-bluff,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ark-pine-bluff.svg
SWAC,Jackson St.,Tigers,Jackson ST,jackson-st,jackson-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/jackson-st.svg
SWAC,Prairie View,Panthers,Prairie View A&M,prairie-view,prairie-view-a-and-m,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/prairie-view.svg
SWAC,Alabama St.,Hornets,Alabama ST,alabama-st,alabama-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama-st.svg
SWAC,Alcorn,Braves,Alcorn ST,alcorn,alcorn-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alcorn.svg
SWAC,Grambling,Tigers,Grambling ST,grambling,grambling-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/grambling.svg
SWAC,Mississippi Val.,Delta Devils,Miss Valley ST,mississippi-val,miss-valley-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/mississippi-val.svg
WAC,Utah Valley,Wolverines,Utah Valley,utah-valley,utah-valley,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utah-valley.svg
WAC,California Baptist,Lancers,California Baptist,california-baptist,california-baptist,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/california-baptist.svg
WAC,Utah Tech,Trailblazers,Utah Tech,utah-tech,utah-tech,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utah-tech.svg
WAC,UT Arlington,Mavericks,Texas-Arlington,texas-arlington,texas-arlington,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/texas-arlington.svg
WAC,Southern Utah,Thunderbirds,S Utah,southern-utah,s-utah,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-utah.svg
WAC,Abilene Christian,Wildcats,Abilene CHR,abilene-christian,abilene-chr,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/abilene-christian.svg
WAC,Tarleton St.,Texans,Tarleton ST,tarleton-st,tarleton-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/tarleton-st.svg
WCC,Gonzaga,Bulldogs,Gonzaga,gonzaga,gonzaga,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/gonzaga.svg
WCC,Saint Mary's (CA),Gaels,ST Marys,st-marys-ca,st-marys,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-marys-ca.svg
WCC,Santa Clara,Broncos,Santa Clara,santa-clara,santa-clara,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/santa-clara.svg
WCC,Oregon St.,Beavers,Oregon ST,oregon-st,oregon-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon-st.svg
WCC,Seattle U,Redhawks,Seattle U,seattle,seattle-u,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/seattle.svg
WCC,Pacific,Tigers,Pacific,pacific,pacific,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/pacific.svg
WCC,San Francisco,Dons,San Francisco,san-francisco,san-francisco,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/san-francisco.svg
WCC,Washington St.,Cougars,Washington ST,washington-st,washington-st,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/washington-st.svg
WCC,LMU (CA),Lions,Loyola-Marymount,loyola-marymount,loyola-marymount,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/loyola-marymount.svg
WCC,Portland,Pilots,Portland,portland,portland,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/portland.svg
WCC,San Diego,Toreros,San Diego,san-diego,san-diego,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/san-diego.svg
WCC,Pepperdine,Waves,Pepperdine,pepperdine,pepperdine,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/pepperdine.svg
